State,District,Temperature,Rainfall,Humidity,Soil_Quality,Fertilizer_Usage,Irrigation,Yield
Andhra Pradesh,District A,27.5,141.9,81.9,8,5,8,95
Maharashtra,District E,26.7,145.7,77,8,5,8,95
Andhra Pradesh,District E,32.5,91.8,71.5,10,8,5,95
Haryana,District A,32.7,192.8,76.5,10,7,9,95
Uttar Pradesh,District B,24.1,164.7,62.3,8,8,9,95
Punjab,District C,29.1,130.7,76.4,7,7,6,95
Punjab,District D,33.2,133.8,83.3,10,9,10,95
Tamil Nadu,District D,36,114.6,76.4,6,9,9,95
Punjab,District C,20.4,92.9,82.1,6,6,6,95
Punjab,District A,21.4,178.5,64.4,8,6,6,95
Haryana,District E,33.9,188.1,64.6,10,8,8,95
Uttar Pradesh,District D,26.7,109.4,84.6,9,9,9,95
Haryana,District A,24.3,113.5,74.1,6,5,9,95
Maharashtra,District A,30.2,176.3,84.1,7,6,8,95
Punjab,District A,24,83.4,82.7,6,7,5,95
Bihar,District D,20,143.4,73.5,9,6,10,95
Punjab,District B,29.7,137.7,66.6,10,10,10,95
West Bengal,District B,34.3,128.5,60.5,6,6,10,95
Punjab,District C,27,90.4,75.8,6,8,6,95
Tamil Nadu,District E,28.6,113.1,77.1,6,5,10,95
Haryana,District E,29.1,192.1,60.9,8,6,5,95
Haryana,District C,24.1,103,70.4,5,8,10,95
Punjab,District C,21.9,152.2,81.1,8,9,7,95
Uttar Pradesh,District B,28,140.7,75.1,10,10,8,95
Punjab,District C,21.7,115.5,84,5,9,10,95
Andhra Pradesh,District D,28.4,172,67.6,5,6,5,95
Maharashtra,District D,23.1,128.1,72.6,9,5,5,95
Haryana,District B,20.4,191.2,70.6,7,8,5,95
Uttar Pradesh,District B,33,199.8,70,9,6,9,95
Punjab,District D,20.4,125.2,77,8,5,7,95
Maharashtra,District C,29.9,118.5,83.1,9,6,10,95
Punjab,District A,30.3,107.3,84,6,5,6,95
Karnataka,District C,26.9,159.4,77.4,10,5,6,95
Tamil Nadu,District A,25.7,92.5,65,5,5,9,95
Haryana,District E,31.3,151,69.7,9,7,8,95
Haryana,District A,22.3,111.8,68.3,8,6,10,95
Tamil Nadu,District C,30.1,157.9,69,10,6,7,95
Uttar Pradesh,District A,22.9,183.1,83.1,7,6,8,95
Haryana,District E,26.4,149,65.6,8,6,10,95
Andhra Pradesh,District D,29.3,119.4,66.4,6,7,6,95
Bihar,District D,28.1,175,71.6,6,9,6,95
Uttar Pradesh,District E,26,93.1,71.2,9,7,7,95
Karnataka,District A,22.5,153.7,63.8,7,5,8,95
Tamil Nadu,District B,23.9,164,82.7,8,7,6,95
Punjab,District E,20.4,139.8,68.3,5,8,9,95
Maharashtra,District A,32.3,186.8,70.3,8,7,6,95
